area,year,latitude,longitude,aqi_openweather_avg,pm2_5_avg,pm10_avg,no2_avg,o3_avg,co_avg
Chowdeshwari Nagar,2022,12.9977018,77.5139236,2.67,26.97,31.36,19.51,45.67,625.3
Chowdeshwari Nagar,2023,12.9977018,77.5139236,2.22,23.57,27.92,18.23,47.04,591.49
Chowdeshwari Nagar,2024,12.9977018,77.5139236,2.21,22.74,25.86,15.89,49.45,596.5
Chowdeshwari Nagar,2025,12.9977018,77.5139236,2.1,21.43,26.53,10.02,53.59,327.1
Chowdeshwari Nagar,2026,12.9977018,77.5139236,3.1,40.65,49.24,6.17,81.26,335.27
Cottonpete,2020,12.9745723,77.5689324,3.63,42.83,47.78,16.51,59.0,566.13
Cottonpete,2021,12.9745723,77.5689324,2.51,24.37,28.53,18.02,41.71,606.76
Cottonpete,2022,12.9745723,77.5689324,2.67,26.97,31.36,19.51,45.67,625.3
Cottonpete,2023,12.9745723,77.5689324,2.22,23.57,27.92,18.23,47.04,591.49
Cottonpete,2024,12.9745723,77.5689324,2.21,22.74,25.86,15.89,49.45,596.5
Cottonpete,2025,12.9745723,77.5689324,2.1,21.43,26.53,10.02,53.59,327.1
Cottonpete,2026,12.9745723,77.5689324,3.1,40.65,49.24,6.17,81.26,335.27
Cox Town,2020,12.9934859,77.6251081,3.63,42.83,47.78,16.51,59.0,566.13
Cox Town,2021,12.9934859,77.6251081,2.51,24.37,28.53,18.02,41.71,606.76
Cox Town,2022,12.9934859,77.6251081,2.67,26.97,31.36,19.51,45.67,625.3
Cox Town,2023,12.9934859,77.6251081,2.22,23.57,27.92,18.23,47.04,591.49
Cox Town,2024,12.9934859,77.6251081,2.21,22.74,25.86,15.89,49.45,596.5
Cox Town,2025,12.9934859,77.6251081,2.1,21.43,26.53,10.02,53.59,327.1
Cox Town,2026,12.9934859,77.6251081,3.18,42.23,50.97,6.06,82.52,332.38
Dattatreya Temple,2020,12.9247983,77.5401436,3.63,42.83,47.78,16.51,59.0,566.13
Dattatreya Temple,2021,12.9247983,77.5401436,2.51,24.37,28.53,18.02,41.71,606.76
Dattatreya Temple,2022,12.9247983,77.5401436,2.67,26.97,31.36,19.51,45.67,625.3
Dattatreya Temple,2023,12.9247983,77.5401436,2.22,23.57,27.92,18.23,47.04,591.49
Dattatreya Temple,2024,12.9247983,77.5401436,2.21,22.74,25.86,15.89,49.45,596.5
Dattatreya Temple,2025,12.9247983,77.5401436,2.1,21.43,26.53,10.02,53.59,327.1
Dattatreya Temple,2026,12.9247983,77.5401436,3.1,40.65,49.24,6.17,81.26,335.27
Dayananda Nagar,2020,12.9094950,77.5659480,3.63,42.83,47.78,16.51,59.0,566.13
Dayananda Nagar,2021,12.9094950,77.5659480,2.51,24.37,28.53,18.02,41.71,606.76
Dayananda Nagar,2022,12.9094950,77.5659480,2.67,26.97,31.36,19.51,45.67,625.3
Dayananda Nagar,2023,12.9094950,77.5659480,2.22,23.57,27.92,18.23,47.04,591.49
Dayananda Nagar,2024,12.9094950,77.5659480,2.21,22.74,25.86,15.89,49.45,596.5
Dayananda Nagar,2025,12.9094950,77.5659480,2.1,21.43,26.53,10.02,53.59,327.1
Dayananda Nagar,2026,12.9094950,77.5659480,3.1,40.65,49.24,6.17,81.26,335.27
Deepanjali Nagar,2020,12.9520333,77.5369961,3.63,42.83,47.78,16.51,59.0,566.13
Deepanjali Nagar,2021,12.9520333,77.5369961,2.51,24.37,28.53,18.02,41.71,606.76
Deepanjali Nagar,2022,12.9520333,77.5369961,2.67,26.97,31.36,19.51,45.67,625.3
Deepanjali Nagar,2023,12.9520333,77.5369961,2.22,23.57,27.92,18.23,47.04,591.49
Deepanjali Nagar,2024,12.9520333,77.5369961,2.21,22.74,25.86,15.89,49.45,596.5
Deepanjali Nagar,2025,12.9520333,77.5369961,2.1,21.43,26.53,10.02,53.59,327.1
Deepanjali Nagar,2026,12.9520333,77.5369961,3.1,40.65,49.24,6.17,81.26,335.27
Defence Colony,2020,12.9761710,77.6435315,3.63,42.83,47.78,16.51,59.0,566.13
Defence Colony,2021,12.9761710,77.6435315,2.51,24.37,28.53,18.02,41.71,606.76
Defence Colony,2022,12.9761710,77.6435315,2.67,26.97,31.36,19.51,45.67,625.3
Defence Colony,2023,12.9761710,77.6435315,2.22,23.57,27.92,18.23,47.04,591.49
Defence Colony,2024,12.9761710,77.6435315,2.21,22.74,25.86,15.89,49.45,596.5
Defence Colony,2025,12.9761710,77.6435315,2.1,21.43,26.53,10.02,53.59,327.1
Defence Colony,2026,12.9761710,77.6435315,3.18,42.23,50.97,6.06,82.52,332.38
Devagiri Temple Ward,2020,12.9283235,77.5753171,3.63,42.83,47.78,16.51,59.0,566.13
Devagiri Temple Ward,2021,12.9283235,77.5753171,2.51,24.37,28.53,18.02,41.71,606.76
Devagiri Temple Ward,2022,12.9283235,77.5753171,2.67,26.97,31.36,19.51,45.67,625.3
Devagiri Temple Ward,2023,12.9283235,77.5753171,2.22,23.57,27.92,18.23,47.04,591.49
Devagiri Temple Ward,2024,12.9283235,77.5753171,2.21,22.74,25.86,15.89,49.45,596.5
Devagiri Temple Ward,2025,12.9283235,77.5753171,2.1,21.43,26.53,10.02,53.59,327.1
Devagiri Temple Ward,2026,12.9283235,77.5753171,3.1,40.65,49.24,6.17,81.26,335.27
Devaraj Urs Nagar,2020,12.9629437,77.5494998,3.63,42.83,47.78,16.51,59.0,566.13
Devaraj Urs Nagar,2021,12.9629437,77.5494998,2.51,24.37,28.53,18.02,41.71,606.76
Devaraj Urs Nagar,2022,12.9629437,77.5494998,2.67,26.97,31.36,19.51,45.67,625.3
Devaraj Urs Nagar,2023,12.9629437,77.5494998,2.22,23.57,27.92,18.23,47.04,591.49
Devaraj Urs Nagar,2024,12.9629437,77.5494998,2.21,22.74,25.86,15.89,49.45,596.5
Devaraj Urs Nagar,2025,12.9629437,77.5494998,2.1,21.43,26.53,10.02,53.59,327.1
Devaraj Urs Nagar,2026,12.9629437,77.5494998,3.1,40.65,49.24,6.17,81.26,335.27
Devasandra,2020,13.0019714,77.6914404,3.63,42.83,47.78,16.51,59.0,566.13
Devasandra,2021,13.0019714,77.6914404,2.51,24.37,28.53,18.02,41.71,606.76
Devasandra,2022,13.0019714,77.6914404,2.67,26.97,31.36,19.51,45.67,625.3
Devasandra,2023,13.0019714,77.6914404,2.22,23.57,27.92,18.23,47.04,591.49
Devasandra,2024,13.0019714,77.6914404,2.21,22.74,25.86,15.89,49.45,596.5
Devasandra,2025,13.0019714,77.6914404,2.1,21.43,26.53,10.02,53.59,327.1
Devasandra,2026,13.0019714,77.6914404,3.17,40.45,48.31,4.7,86.43,311.71
Dharmaraya Swamy Temple,2020,12.9655211,77.5831867,3.63,42.83,47.78,16.51,59.0,566.13
Dharmaraya Swamy Temple,2021,12.9655211,77.5831867,2.51,24.37,28.53,18.02,41.71,606.76
Dharmaraya Swamy Temple,2022,12.9655211,77.5831867,2.67,26.97,31.36,19.51,45.67,625.3
Dharmaraya Swamy Temple,2023,12.9655211,77.5831867,2.22,23.57,27.92,18.23,47.04,591.49
Dharmaraya Swamy Temple,2024,12.9655211,77.5831867,2.21,22.74,25.86,15.89,49.45,596.5
Dharmaraya Swamy Temple,2025,12.9655211,77.5831867,2.1,21.43,26.53,10.02,53.59,327.1
Dharmaraya Swamy Temple,2026,12.9655211,77.5831867,3.1,40.65,49.24,6.17,81.26,335.27
Dodda Bommasandra,2020,13.0601068,77.5588200,3.63,42.83,47.78,16.51,59.0,566.13
Dodda Bommasandra,2021,13.0601068,77.5588200,2.51,24.37,28.53,18.02,41.71,606.76
Dodda Bommasandra,2022,13.0601068,77.5588200,2.67,26.97,31.36,19.51,45.67,625.3
Dodda Bommasandra,2023,13.0601068,77.5588200,2.22,23.57,27.92,18.23,47.04,591.49
Dodda Bommasandra,2024,13.0601068,77.5588200,2.21,22.74,25.86,15.89,49.45,596.5
Dodda Bommasandra,2025,13.0601068,77.5588200,2.1,21.43,26.53,10.02,53.59,327.1
Dodda Bommasandra,2026,13.0601068,77.5588200,3.11,39.04,46.66,4.75,86.43,313.87
Dodda Nekkundi,2020,12.9725581,77.6928580,3.63,42.83,47.78,16.51,59.0,566.13
Dodda Nekkundi,2021,12.9725581,77.6928580,2.51,24.37,28.53,18.02,41.71,606.76
Dodda Nekkundi,2022,12.9725581,77.6928580,2.67,26.97,31.36,19.51,45.67,625.3
Dodda Nekkundi,2023,12.9725581,77.6928580,2.22,23.57,27.92,18.23,47.04,591.49
Dodda Nekkundi,2024,12.9725581,77.6928580,2.21,22.74,25.86,15.89,49.45,596.5
Dodda Nekkundi,2025,12.9725581,77.6928580,2.1,21.43,26.53,10.02,53.59,327.1
Dodda Nekkundi,2026,12.9725581,77.6928580,3.18,42.23,50.97,6.06,82.52,332.38
Doddabanahalli,2020,13.0271648,77.7473867,3.54,41.03,45.9,6.32,69.59,404.87
Doddabanahalli,2021,13.0271648,77.7473867,2.41,22.46,26.53,11.94,48.93,447.98
Doddabanahalli,2022,13.0271648,77.7473867,2.55,24.9,29.17,12.02,54.31,452.68
Doddabanahalli,2023,13.0271648,77.7473867,2.2,22.47,26.86,12.07,54.33,456.64
Doddabanahalli,2024,13.0271648,77.7473867,2.13,20.62,23.69,8.62,55.88,437.55
Doddabanahalli,2025,13.0271648,77.7473867,2.07,20.62,25.4,7.0,54.94,282.11
Doddabanahalli,2026,13.0271648,77.7473867,3.19,41.14,49.03,4.43,87.4,304.89
Domlur,2020,12.9624669,77.6381958,3.63,42.83,47.78,16.51,59.0,566.13
Domlur,2021,12.9624669,77.6381958,2.51,24.37,28.53,18.02,41.71,606.76
Domlur,2022,12.9624669,77.6381958,2.67,26.97,31.36,19.51,45.67,625.3
Domlur,2023,12.9624669,77.6381958,2.22,23.57,27.92,18.23,47.04,591.49
Domlur,2024,12.9624669,77.6381958,2.21,22.74,25.86,15.89,49.45,596.5
Domlur,2025,12.9624669,77.6381958,2.1,21.43,26.53,10.02,53.59,327.1
Domlur,2026,12.9624669,77.6381958,3.18,42.23,50.97,6.06,82.52,332.38
Dommasandra,2020,12.8777098,77.7534769,3.53,40.62,45.6,5.13,72.26,396.63
Dommasandra,2021,12.8777098,77.7534769,2.36,21.51,25.5,8.58,52.82,396.83
Dommasandra,2022,12.8777098,77.7534769,2.52,24.43,28.74,9.63,57.67,414.88
Dommasandra,2023,12.8777098,77.7534769,2.16,21.1,25.36,8.18,58.93,391.85
Dommasandra,2024,12.8777098,77.7534769,2.1,19.65,22.66,5.3,59.02,387.05
Dommasandra,2025,12.8777098,77.7534769,2.11,21.69,27.17,7.9,55.04,298.83
Dommasandra,2026,12.8777098,77.7534769,3.23,43.17,52.15,6.25,82.7,332.55
Ejipura,2020,12.9452450,77.6274776,3.63,42.83,47.78,16.51,59.0,566.13
Ejipura,2021,12.9452450,77.6274776,2.51,24.37,28.53,18.02,41.71,606.76
Ejipura,2022,12.9452450,77.6274776,2.67,26.97,31.36,19.51,45.67,625.3
Ejipura,2023,12.9452450,77.6274776,2.22,23.57,27.92,18.23,47.04,591.49
Ejipura,2024,12.9452450,77.6274776,2.21,22.74,25.86,15.89,49.45,596.5
Ejipura,2025,12.9452450,77.6274776,2.1,21.43,26.53,10.02,53.59,327.1
Ejipura,2026,12.9452450,77.6274776,3.18,42.23,50.97,6.06,82.52,332.38
Gali Anjaneya Temple Ward,2020,12.9558805,77.5366656,3.63,42.83,47.78,16.51,59.0,566.13
Gali Anjaneya Temple Ward,2021,12.9558805,77.5366656,2.51,24.37,28.53,18.02,41.71,606.76
Gali Anjaneya Temple Ward,2022,12.9558805,77.5366656,2.67,26.97,31.36,19.51,45.67,625.3
Gali Anjaneya Temple Ward,2023,12.9558805,77.5366656,2.22,23.57,27.92,18.23,47.04,591.49
Gali Anjaneya Temple Ward,2024,12.9558805,77.5366656,2.21,22.74,25.86,15.89,49.45,596.5
Gali Anjaneya Temple Ward,2025,12.9558805,77.5366656,2.1,21.43,26.53,10.02,53.59,327.1
Gali Anjaneya Temple Ward,2026,12.9558805,77.5366656,3.1,40.65,49.24,6.17,81.26,335.27
Gandhinagar,2020,12.9771534,77.5800313,3.63,42.83,47.78,16.51,59.0,566.13
Gandhinagar,2021,12.9771534,77.5800313,2.51,24.37,28.53,18.02,41.71,606.76
Gandhinagar,2022,12.9771534,77.5800313,2.67,26.97,31.36,19.51,45.67,625.3
Gandhinagar,2023,12.9771534,77.5800313,2.22,23.57,27.92,18.23,47.04,591.49
Gandhinagar,2024,12.9771534,77.5800313,2.21,22.74,25.86,15.89,49.45,596.5
Gandhinagar,2025,12.9771534,77.5800313,2.1,21.43,26.53,10.02,53.59,327.1
Gandhinagar,2026,12.9771534,77.5800313,3.1,40.65,49.24,6.17,81.26,335.27
Ganga Nagar,2020,13.0232471,77.5883569,3.63,42.83,47.78,16.51,59.0,566.13
Ganga Nagar,2021,13.0232471,77.5883569,2.51,24.37,28.53,18.02,41.71,606.76
Ganga Nagar,2022,13.0232471,77.5883569,2.67,26.97,31.36,19.51,45.67,625.3
Ganga Nagar,2023,13.0232471,77.5883569,2.22,23.57,27.92,18.23,47.04,591.49
Ganga Nagar,2024,13.0232471,77.5883569,2.21,22.74,25.86,15.89,49.45,596.5
Ganga Nagar,2025,13.0232471,77.5883569,2.1,21.43,26.53,10.02,53.59,327.1
Ganga Nagar,2026,13.0232471,77.5883569,3.11,39.04,46.66,4.75,86.43,313.87
Garudachar Palya,2020,12.9899098,77.7011259,3.54,41.03,45.9,6.32,69.59,404.87
Garudachar Palya,2021,12.9899098,77.7011259,2.41,22.46,26.53,11.94,48.93,447.98
Garudachar Palya,2022,12.9899098,77.7011259,2.55,24.9,29.17,12.02,54.31,452.68
Garudachar Palya,2023,12.9899098,77.7011259,2.2,22.47,26.86,12.07,54.33,456.64
Garudachar Palya,2024,12.9899098,77.7011259,2.13,20.62,23.69,8.62,55.88,437.55
Garudachar Palya,2025,12.9899098,77.7011259,2.07,20.62,25.4,7.0,54.94,282.11
Garudachar Palya,2026,12.9899098,77.7011259,3.2,42.92,51.69,5.79,83.49,325.56
Gavi Gangadhareshwara,2020,12.9482055,77.5629917,3.63,42.83,47.78,16.51,59.0,566.13
Gavi Gangadhareshwara,2021,12.9482055,77.5629917,2.51,24.37,28.53,18.02,41.71,606.76
Gavi Gangadhareshwara,2022,12.9482055,77.5629917,2.67,26.97,31.36,19.51,45.67,625.3
Gavi Gangadhareshwara,2023,12.9482055,77.5629917,2.22,23.57,27.92,18.23,47.04,591.49
Gavi Gangadhareshwara,2024,12.9482055,77.5629917,2.21,22.74,25.86,15.89,49.45,596.5
Gavi Gangadhareshwara,2025,12.9482055,77.5629917,2.1,21.43,26.53,10.02,53.59,327.1
Gavi Gangadhareshwara,2026,12.9482055,77.5629917,3.1,40.65,49.24,6.17,81.26,335.27
Govindaraja Nagar,2020,12.9755632,77.5367385,3.63,42.83,47.78,16.51,59.0,566.13
Govindaraja Nagar,2021,12.9755632,77.5367385,2.51,24.37,28.53,18.02,41.71,606.76
Govindaraja Nagar,2022,12.9755632,77.5367385,2.67,26.97,31.36,19.51,45.67,625.3
Govindaraja Nagar,2023,12.9755632,77.5367385,2.22,23.57,27.92,18.23,47.04,591.49
Govindaraja Nagar,2024,12.9755632,77.5367385,2.21,22.74,25.86,15.89,49.45,596.5
Govindaraja Nagar,2025,12.9755632,77.5367385,2.1,21.43,26.53,10.02,53.59,327.1
Govindaraja Nagar,2026,12.9755632,77.5367385,3.1,40.65,49.24,6.17,81.26,335.27
Gurappanapalya,2020,12.9195490,77.5999265,3.63,42.83,47.78,16.51,59.0,566.13
Gurappanapalya,2021,12.9195490,77.5999265,2.51,24.37,28.53,18.02,41.71,606.76
Gurappanapalya,2022,12.9195490,77.5999265,2.67,26.97,31.36,19.51,45.67,625.3
Gurappanapalya,2023,12.9195490,77.5999265,2.22,23.57,27.92,18.23,47.04,591.49
Gurappanapalya,2024,12.9195490,77.5999265,2.21,22.74,25.86,15.89,49.45,596.5
Gurappanapalya,2025,12.9195490,77.5999265,2.1,21.43,26.53,10.02,53.59,327.1
Gurappanapalya,2026,12.9195490,77.5999265,3.1,40.65,49.24,6.17,81.26,335.27
HAL Airport,2020,12.9514658,77.6706175,3.63,42.83,47.78,16.51,59.0,566.13
HAL Airport,2021,12.9514658,77.6706175,2.51,24.37,28.53,18.02,41.71,606.76
HAL Airport,2022,12.9514658,77.6706175,2.67,26.97,31.36,19.51,45.67,625.3
HAL Airport,2023,12.9514658,77.6706175,2.22,23.57,27.92,18.23,47.04,591.49
HAL Airport,2024,12.9514658,77.6706175,2.21,22.74,25.86,15.89,49.45,596.5
HAL Airport,2025,12.9514658,77.6706175,2.1,21.43,26.53,10.02,53.59,327.1
HAL Airport,2026,12.9514658,77.6706175,3.18,42.23,50.97,6.06,82.52,332.38
HBR Layout,2020,13.0319920,77.6280789,3.63,42.83,47.78,16.51,59.0,566.13
HBR Layout,2021,13.0319920,77.6280789,2.51,24.37,28.53,18.02,41.71,606.76
HBR Layout,2022,13.0319920,77.6280789,2.67,26.97,31.36,19.51,45.67,625.3
HBR Layout,2023,13.0319920,77.6280789,2.22,23.57,27.92,18.23,47.04,591.49
HBR Layout,2024,13.0319920,77.6280789,2.21,22.74,25.86,15.89,49.45,596.5
HBR Layout,2025,13.0319920,77.6280789,2.1,21.43,26.53,10.02,53.59,327.1
HBR Layout,2026,13.0319920,77.6280789,3.17,40.45,48.31,4.7,86.43,311.71
HSR Layout,2020,12.9116225,77.6388622,3.63,42.83,47.78,16.51,59.0,566.13
HSR Layout,2021,12.9116225,77.6388622,2.51,24.37,28.53,18.02,41.71,606.76
HSR Layout,2022,12.9116225,77.6388622,2.67,26.97,31.36,19.51,45.67,625.3
HSR Layout,2023,12.9116225,77.6388622,2.22,23.57,27.92,18.23,47.04,591.49
HSR Layout,2024,12.9116225,77.6388622,2.21,22.74,25.86,15.89,49.45,596.5
HSR Layout,2025,12.9116225,77.6388622,2.1,21.43,26.53,10.02,53.59,327.1
HSR Layout,2026,12.9116225,77.6388622,3.18,42.23,50.97,6.06,82.52,332.38
Halanayakanahalli,2020,12.8966653,77.6855489,3.52,40.0,44.97,9.73,67.51,449.97
Halanayakanahalli,2021,12.8966653,77.6855489,2.37,21.8,26.02,11.22,49.14,440.98
Halanayakanahalli,2022,12.8966653,77.6855489,2.57,24.93,29.54,13.43,52.21,476.15
Halanayakanahalli,2023,12.8966653,77.6855489,2.14,20.94,25.4,10.78,54.81,423.53
Halanayakanahalli,2024,12.8966653,77.6855489,2.11,20.04,23.26,8.4,55.66,429.81
Halanayakanahalli,2025,12.8966653,77.6855489,2.2,22.98,29.23,10.36,53.23,333.27
Halanayakanahalli,2026,12.8966653,77.6855489,3.19,42.53,51.53,6.57,81.51,340.56
Hampi Nagar,2020,12.9573229,77.5348705,3.63,42.83,47.78,16.51,59.0,566.13
Hampi Nagar,2021,12.9573229,77.5348705,2.51,24.37,28.53,18.02,41.71,606.76
Hampi Nagar,2022,12.9573229,77.5348705,2.67,26.97,31.36,19.51,45.67,625.3
Hampi Nagar,2023,12.9573229,77.5348705,2.22,23.57,27.92,18.23,47.04,591.49
Hampi Nagar,2024,12.9573229,77.5348705,2.21,22.74,25.86,15.89,49.45,596.5
Hampi Nagar,2025,12.9573229,77.5348705,2.1,21.43,26.53,10.02,53.59,327.1
Hampi Nagar,2026,12.9573229,77.5348705,3.1,40.65,49.24,6.17,81.26,335.27
Hebbal Kempapura,2020,13.0501940,77.6075951,3.63,42.83,47.78,16.51,59.0,566.13
Hebbal Kempapura,2021,13.0501940,77.6075951,2.51,24.37,28.53,18.02,41.71,606.76
Hebbal Kempapura,2022,13.0501940,77.6075951,2.67,26.97,31.36,19.51,45.67,625.3
Hebbal Kempapura,2023,13.0501940,77.6075951,2.22,23.57,27.92,18.23,47.04,591.49
Hebbal Kempapura,2024,13.0501940,77.6075951,2.21,22.74,25.86,15.89,49.45,596.5
Hebbal Kempapura,2025,13.0501940,77.6075951,2.1,21.43,26.53,10.02,53.59,327.1
Hebbal Kempapura,2026,13.0501940,77.6075951,3.17,40.45,48.31,4.7,86.43,311.71
Hebbala,2020,13.0388850,77.5896672,3.63,42.83,47.78,16.51,59.0,566.13
Hebbala,2021,13.0388850,77.5896672,2.51,24.37,28.53,18.02,41.71,606.76
Hebbala,2022,13.0388850,77.5896672,2.67,26.97,31.36,19.51,45.67,625.3
Hebbala,2023,13.0388850,77.5896672,2.22,23.57,27.92,18.23,47.04,591.49
Hebbala,2024,13.0388850,77.5896672,2.21,22.74,25.86,15.89,49.45,596.5
Hebbala,2025,13.0388850,77.5896672,2.1,21.43,26.53,10.02,53.59,327.1
Hebbala,2026,13.0388850,77.5896672,3.11,39.04,46.66,4.75,86.43,313.87
Hegganahalli,2020,13.0034737,77.5107376,3.63,42.83,47.78,16.51,59.0,566.13
Hegganahalli,2021,13.0034737,77.5107376,2.51,24.37,28.53,18.02,41.71,606.76
Hegganahalli,2022,13.0034737,77.5107376,2.67,26.97,31.36,19.51,45.67,625.3
Hegganahalli,2023,13.0034737,77.5107376,2.22,23.57,27.92,18.23,47.04,591.49
Hegganahalli,2024,13.0034737,77.5107376,2.21,22.74,25.86,15.89,49.45,596.5
Hegganahalli,2025,13.0034737,77.5107376,2.1,21.43,26.53,10.02,53.59,327.1
Hegganahalli,2026,13.0034737,77.5107376,3.11,39.04,46.66,4.75,86.43,313.87
Hemmigepura,2020,12.8819289,77.4854975,3.57,40.2,45.35,12.46,65.89,481.94
Hemmigepura,2021,12.8819289,77.4854975,2.35,21.11,25.27,9.94,50.2,415.78
Hemmigepura,2022,12.8819289,77.4854975,2.52,23.96,28.54,11.37,53.14,435.84
Hemmigepura,2023,12.8819289,77.4854975,2.12,20.09,24.48,9.17,55.26,398.18
Hemmigepura,2024,12.8819289,77.4854975,2.1,19.31,22.42,6.56,56.67,403.64
Hemmigepura,2025,12.8819289,77.4854975,2.29,24.5,31.62,12.2,51.33,362.24
Hemmigepura,2026,12.8819289,77.4854975,3.08,40.31,49.18,6.96,79.08,350.52
Hennur,2020,13.0370770,77.6413572,3.63,42.83,47.78,16.51,59.0,566.13
Hennur,2021,13.0370770,77.6413572,2.51,24.37,28.53,18.02,41.71,606.76
Hennur,2022,13.0370770,77.6413572,2.67,26.97,31.36,19.51,45.67,625.3
Hennur,2023,13.0370770,77.6413572,2.22,23.57,27.92,18.23,47.04,591.49
Hennur,2024,13.0370770,77.6413572,2.21,22.74,25.86,15.89,49.45,596.5
Hennur,2025,13.0370770,77.6413572,2.1,21.43,26.53,10.02,53.59,327.1
Hennur,2026,13.0370770,77.6413572,3.17,40.45,48.31,4.7,86.43,311.71
Herohalli,2020,12.9912345,77.4870119,3.64,43.73,48.71,19.64,58.61,622.72
Herohalli,2021,12.9912345,77.4870119,2.43,22.79,26.9,13.93,45.71,496.7
Herohalli,2022,12.9912345,77.4870119,2.58,25.0,29.32,14.52,49.81,502.24
Herohalli,2023,12.9912345,77.4870119,2.17,21.74,26.05,14.24,49.88,485.18
Herohalli,2024,12.9912345,77.4870119,2.17,21.06,24.12,10.89,53.5,483.84
Herohalli,2025,12.9912345,77.4870119,2.15,22.32,27.93,11.57,52.27,351.88
Herohalli,2026,12.9912345,77.4870119,3.06,39.96,48.52,6.42,80.31,341.71
Hirandahalli,2020,13.0409567,77.7254833,3.54,41.03,45.9,6.32,69.59,404.87
Hirandahalli,2021,13.0409567,77.7254833,2.41,22.46,26.53,11.94,48.93,447.98
